General Area,Specialty Area(s),College,Primary Department,Researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,sustainable infrastructure,College of Built Environments,Department of Architecture,Rick Mohler,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKET SOLUTIONS,environmental economics,Arts & Sciences,Department of Economics,Jacob LaRiviere,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Energy Harvesting,Engineering,Electrical Engineering,Brian Otis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Electrical Engineering,Daniel Kirschen,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Electrical Engineering,Scott Dunham,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Electrical Engineering,Scott Dunham,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Wind,Engineering,Electrical Engineering,Daniel Kirschen,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Wind,Engineering,Electrical Engineering,Mohamed El-Sharkawi,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Environment,Environmental and Forest Science,Renata Bura,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Environment,Environmental and Forest Science,Richard Gustafson,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Environment,Environmental and Forest Science,Sharon Doty,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,air pollution,Engineering,Civil and Environmental Engineering,Julian D. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Engineering,Civil and Environmental Engineering,David Stensel,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURAL RESOURCE DEGRADATION,carbon cycling,Engineering,Civil and Environmental Engineering,David Butman,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,human health impacts,Engineering,Civil and Environmental Engineering,Julian D. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,soil resources,Engineering,Civil and Environmental Engineering,Seana Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,soil resources,Engineering,Civil and Environmental Engineering,Seana Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,waste management,Engineering,Civil and Environmental Engineering,*Michael Dodd,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,waste management,Engineering,Civil and Environmental Engineering,Seana Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,wastewater management,Engineering,Civil and Environmental Engineering,Heidi Gough,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,wastewater management,Engineering,Civil and Environmental Engineering,Seana Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,wastewater treatment,Engineering,Civil and Environmental Engineering,David Stensel,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,water quality,Engineering,Civil and Environmental Engineering,*Michael Dodd,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,water quality,Engineering,Civil and Environmental Engineering,Edward Kolodziej,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,water quality,Engineering,Civil and Environmental Engineering,Gregory V. Korshin,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURAL RESOURCE DEGRADATION,water resources,Engineering,Civil and Environmental Engineering,David Butman,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,wastewater treatment,Engineering,Civil and Environmental Engineering,Stuart E. Strand,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURAL RESOURCE DEGRADATION,carbon cycling,Engineering,Civil and Environmental Engineering,Rebecca B. Neumann,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURAL RESOURCE DEGRADATION,human health impacts,Engineering,Civil and Environmental Engineering,Rebecca B. Neumann,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURAL RESOURCE DEGRADATION,pollution,Engineering,Civil and Environmental Engineering,Rebecca B. Neumann,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURAL RESOURCE DEGRADATION,soil resources,Engineering,Civil and Environmental Engineering,Rebecca B. Neumann,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURAL RESOURCE DEGRADATION,water management,Engineering,Civil and Environmental Engineering,Rebecca B. Neumann,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESOURCE MANAGEMENT,water management,Engineering,Civil and Environmental Engineering,Erkan Istanbulluoglu,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESOURCE MANAGEMENT,water management,Engineering,Civil and Environmental Engineering,Stephen J. Burges,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Wind,Arts & Sciences,Evans School of Public Affairs,Allison Cullen,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURAL RESOURCE DEGRADATION,water quality,Engineering,Civil and Environmental Engineering,*Michael T. Brett,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,nuclear waste containment,Engineering,Civil and Environmental Engineering,*Robert D. Holtz,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLUTION/CLEANUP,soil resources,Engineering,Civil and Environmental Engineering,*Robert D. Holtz,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURAL RESOURCE DEGRADATION,water resources,Engineering,Civil and Environmental Engineering,Jessica D. Lundquist,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Engineering,Materials Science and Engineering,Jihui Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Energy Harvesting,Engineering,Materials Science and Engineering,Christine Luscombe,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Energy Harvesting,Engineering,Materials Science and Engineering,Fumio Ohuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Energy Harvesting,Engineering,Materials Science and Engineering,Guozhong Cao,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Energy Harvesting,Engineering,Materials Science and Engineering,Xiaodong Xu,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Materials Science and Engineering,Alex K.-Y. Jen,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Materials Science and Engineering,Christine Luscombe,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Materials Science and Engineering,Guozhong Cao,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Materials Science and Engineering,Hong Ma,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Materials Science and Engineering,Qifeng Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Engineering,Mechanical Engineering,Amy Shen,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Energy Harvesting,Engineering,Mechanical Engineering,Jiangyu Li,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Energy Harvesting,Engineering,Mechanical Engineering,Minoru Taya,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Mechanical Engineering,J. Devin Mackenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Mechanical Engineering,Jiangyu Li,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Mechanical Engineering,Minoru Taya,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Alberto Aliseda,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Brian Polagye,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,James Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Philip Malte,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Steve Brunton,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Arts & Sciences,Microbiology,Caroline Harwood,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Arts & Sciences,Microbiology,John Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Arts & Sciences,Microbiology,Mary Lidstrom,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Tidal/Hydrokinetics,Environment,Physical Oceanography,Mitsuhiro Kawase,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Energy Harvesting,Arts & Sciences,Physics,Molecular Engineering and Sciences Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Arts & Sciences,Physics,Fernando Vila,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Arts & Sciences,Physics,Gerald Seidler,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Arts & Sciences,Physics,John Rehr,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLICY,corporate social responsibility,Arts & Sciences,Political Science,Aseem Prakash,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLICY,environmental regulations,Arts & Sciences,Political Science,*Peter J. May,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGULATION,environmental regulations,Arts & Sciences,Political Science,*Peter J. May,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLICY,pollution,Arts & Sciences,Political Science,Aseem Prakash,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLICY,sustainable communities,Arts & Sciences,Political Science,W. Lance Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIAL,sustainable communities,Arts & Sciences,Political Science,Karen Litfin,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIAL,sustainable communities,Arts & Sciences,Political Science,W. Lance Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANNING,sustainable infrastructure,Engineering,Civil and Environmental Engineering,Dorothy A. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTATION,consumption choices,Engineering,Civil and Environmental Engineering,Don MacKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,electric vehicles,Engineering,Civil and Environmental Engineering,Don MacKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTATION,electric vehicles,Engineering,Civil and Environmental Engineering,Don MacKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTATION,pollution : transportation planning,Engineering,Civil and Environmental Engineering,Anne Goodchild,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANNING,urban planning,Engineering,Civil and Environmental Engineering,Cynthia Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
