General Area,Specialty Area(s),College,Primary Department,Researcher
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,James Riley
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Philip Malte
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Steve Brunton
PLANNING,sustainable infrastructure,Engineering,Civil & Environmental Engineering,Dorothy A. Reed
TRANSPORTATION,consumption choices,Engineering,Civil & Environmental Engineering,Don MacKenzie
ENERGY,electric vehicles,Engineering,Civil & Environmental Engineering,Don MacKenzie
TRANSPORTATION,electric vehicles,Engineering,Civil & Environmental Engineering,Don MacKenzie
TRANSPORTATION,pollution : transportation planning,Engineering,Civil & Environmental Engineering,Anne Goodchild
PLANNING,urban planning,Engineering,Civil & Environmental Engineering,Cynthia Chen
ENERGY,Bioenergy,Environment,Environmental and Forest Science,Renata Bura
ENERGY,Bioenergy,Environment,Environmental and Forest Science,Richard Gustafson
ENERGY,Bioenergy,Environment,Environmental and Forest Science,Sharon Doty
ENERGY,Tidal/Hydrokinetics,Environment,Physical Oceanography,Mitsuhiro Kawase
