General Area,specialty,College,Primary Department,Researcher
TECHNICAL SOLUTIONS,sustainable building,College of Built Environments,Department of Architecture,Rob Corser
POLLUTION/CLEANUP,nuclear waste containment,Engineering,Civil and Environmental Engineering,Robert D. Holtz
POLLUTION/CLEANUP,soil resources,Engineering,Civil and Environmental Engineering,Robert D. Holtz
ENERGY,Bioenergy,Arts & Sciences,Biology,Rose Ann Cattolico
ENERGY,Solar,Engineering,Chemical Engineering,Samson Jenekhe
ENERGY,Solar,Engineering,Electrical Engineering,Scott Dunham
ENERGY,Solar,Engineering,Electrical Engineering,Scott Dunham
POLLUTION/CLEANUP,soil resources,Engineering,Civil and Environmental Engineering,Seana Davidson
POLLUTION/CLEANUP,soil resources,Engineering,Civil and Environmental Engineering,Seana Davidson
POLLUTION/CLEANUP,waste management,Engineering,Civil and Environmental Engineering,Seana Davidson
POLLUTION/CLEANUP,wastewater management,Engineering,Civil and Environmental Engineering,Seana Davidson
ENERGY,Bioenergy,Environment,Environmental and Forest Science,Sharon Doty
RESOURCE MANAGEMENT,water management,Engineering,Civil and Environmental Engineering,Stephen J. Burges
ENERGY,Tidal/Hydrokinetics,Engineering,Mechanical Engineering,Steve Brunton
TRANSPORTATION,sustainable infrastructure,Engineering,Civil and Environmental Engineering,Steve Muench
POLLUTION/CLEANUP,wastewater treatment,Engineering,Civil and Environmental Engineering,Stuart E. Strand
ENERGY,Fusion,Engineering,Aeronautics and Astronautics,Thomas Jarboe
ENERGY,Bioenergy,Arts & Sciences,Chemistry,Thomas Spiro
ENERGY,Energy Harvesting,Arts & Sciences,Chemistry,Thomas Spiro
ENERGY,Solar,Arts & Sciences,Chemistry,Thomas Spiro
ENERGY,Fusion,Engineering,Aeronautics and Astronautics,Uri Shumlak
POLICY,sustainable communities,Arts & Sciences,Political Science,W. Lance Bennett
SOCIAL,sustainable communities,Arts & Sciences,Political Science,W. Lance Bennett
ENERGY,Energy Harvesting,Engineering,Materials Science and Engineering,Xiaodong Xu
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Leann Andrews
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Brian Gerich
SOCIAL/CULTURAL SOLUTIONS,environmental justice,College of Built Environments,Landscape Architecture,Brian Gerich
SOCIAL/CULTURAL SOLUTIONS,environmental economics,College of Built Environments,Landscape Architecture,Brian Gerich
PLANNING SOLUTIONS,habitat conservation,College of Built Environments,Landscape Architecture,Jeff Hou
PLANNING SOLUTIONS,environmental justice,College of Built Environments,Landscape Architecture,Jeff Hou
PLANNING SOLUTIONS,environmental literacy,College of Built Environments,Landscape Architecture,Julie Johnson
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Julie Johnson
PLANNING SOLUTIONS,sustainable transportation,College of Built Environments,Landscape Architecture,Julie Johnson
SOCIAL/CULTURAL SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Michael Lewis
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Michael Lewis
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Anna O'Connell
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Julie Parrett
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Nancy Rottle
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Ben Spencer
PLANNING SOLUTIONS,environmental justice,College of Built Environments,Landscape Architecture,Ben Spencer
PLANNING SOLUTIONS,environmental justice,College of Built Environments,Landscape Architecture,Makie Suzuki
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Elizabeth Umbanhowar
PLANNING SOLUTIONS,sustainable transportation,College of Built Environments,Landscape Architecture,Elizabeth Umbanhowar
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Daniel Winterbottom
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Landscape Architecture,Ken Yocom
PLANNING SOLUTIONS,sustainable building,College of Built Environments,Construction Management,Bill Bender
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Construction Management,Carrie Sturts Dossick
PLANNING SOLUTIONS,sustainable building,College of Built Environments,Construction Management,Hyun Woo (Chris) Lee
SOCIAL/CULTURAL SOLUTIONS,environmental literacy,College of Built Environments,Urban Design and Planning,Rachel Berney
SOCIAL/CULTURAL SOLUTIONS,community engagement in sustainability,College of Built Environments,Urban Design and Planning,Rachel Berney
PLANNING SOLUTIONS,sustainabile transportation,College of Built Environments,Urban Design and Planning,David Blum
PLANNING SOLUTIONS,community engagement in sustainability,College of Built Environments,Urban Design and Planning,Branden Born
SOCIAL/CULTURAL SOLUTIONS,adopting sustainable practices,College of Built Environments,Urban Design and Planning,Sofia Dermisi
PLANNING SOLUTIONS,environmental justice,College of Built Environments,Urban Design and Planning,Himanshu Grover
PLANNING SOLUTIONS,sustainability indicators,College of Built Environments,Urban Design and Planning,Donald Miller
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Urban Design and Planning,Qing Shen
PLANNING SOLUTIONS,sustainable transportation,College of Built Environments,Urban Design and Planning,Qing Shen
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Urban Design and Planning,Jill Sterrett
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Real Estate Studies,Nicole Denamuur
PLANNING SOLUTIONS,sustainable infrastructure,College of Built Environments,Real Estate Studies,A-P Hurd
PLANNING SOLUTIONS,sustainable development,College of Built Environments,Real Estate Studies,Pike Oliver
IMPACTS ON HUMANS,health impacts,School of Public Health,Environmental & Occupational Health Sciences,Tanis M Busch Isaksen
IMPACTS ON HUMANS,public health planning,School of Public Health,Environmental & Occupational Health Sciences,Tanis M Busch Isaksen
SOCIAL/CULTURAL SOLUTIONS,communicating sustainability,School of Public Health,Environmental & Occupational Health Sciences,Tanis M Busch Isaksen
IMPACTS ON HUMANS,health impacts,School of Public Health,Environmental & Occupational Health Sciences,Kristie L. Ebi
PLANNING SOLUTIONS,public health planning,School of Public Health,Environmental & Occupational Health Sciences,Kristie L. Ebi
IMPACTS ON HUMANS,health impacts,School of Public Health,Environmental & Occupational Health Sciences,Howard Frumkin
IMPACTS ON HUMANS,climate change adaptation,School of Public Health,Environmental & Occupational Health Sciences,Howard Frumkin
IMPACTS ON HUMANS,health impacts,School of Public Health,Environmental & Occupational Health Sciences,Jerry J Hess
IMPACTS ON HUMANS,climate change adaptation,School of Public Health,Environmental & Occupational Health Sciences,Jerry J Hess
HUMAN IMPACT,pollution,College of the Environment,Department of Atmospheric Sciences,Joel Thorton
HUMAN IMPACTS,pollution,College of the Environment,Earth and Space Sciences,Drew Gorman-Lewis
HUMAN IMPACTS,sustainability and biodiversity,College of the Environment,Environmental Studies,Tim Billo
RESTORATION,restoration,College of the Environment,Environmental Studies,Yen-Chu Weng
RESTORATION,resource management,College of the Environment,Environmental Studies,P. Sean McDonald
HUMANS IN THE ENVIRONMENT,food resources,College of the Environment,School of Aquatic and Fishery Sciences,Trevor Brance
REGULATORY SOLUTIONS,regulation,College of the Environment,School of Aquatic and Fishery Sciences,Trevor Brance
HUMANS IN THE ENVIRONMENT,policies,College of the Environment,School of Aquatic and Fishery Sciences,Timothy Essington
REGULATORY SOLUTIONS,policies,College of the Environment,School of Aquatic and Fishery Sciences,Timothy Essington
HUMANS IN THE ENVIRONMENT,sustainable fisheries,College of the Environment,School of Aquatic and Fishery Sciences,Vicent Gallucci
HUMANS IN THE ENVIRONMENT,sustainability and biodiversity,College of the Environment,School of Aquatic and Fishery Sciences,Vicent Gallucci
REGULATORY SOLUTIONS,human impact,College of the Environment,School of Aquatic and Fishery Sciences,David Armstrong
REGULATORY SOLUTIONS,resource management,College of the Environment,School of Aquatic and Fishery Sciences,David Armstrong
MEASURING SUSTAINABILITY,resource management,College of the Environment,School of Aquatic and Fishery Sciences,André Punt
MANAGEMENT SOLUTIONS,resource management,College of the Environment,School of Aquatic and Fishery Sciences,John Horne
MEASURING SUSTAINABILITY,human impact,College of the Environment,School of Aquatic and Fishery Sciences,John Skalski
HUMAN IMPACTS,pollution,College of the Environment,School of Aquatic and Fishery Sciences,Christian Grue
ENERGY,biofuels,College of the Environment,School of Environmental and Forest Sciences,Shannon Ewanick
MARKET SOLUTIONS,corporate social responsibility,College of the Environment,School of Environmental and Forest Sciences,Dorothy Paun
ENERGY,biofuels,College of the Environment,School of Environmental and Forest Sciences,Fernando Resende
SOCIAL/CULTURAL SOLUTIONS,sustainable building,College of the Environment,School of Environmental and Forest Sciences,Indroneil Ganguly
MEASURING,biofuels,College of the Environment,School of Environmental and Forest Sciences,Indroneil Ganguly
MARKET SOLUTIONS,sustainable building,College of the Environment,School of Environmental and Forest Sciences,Indroneil Ganguly
MARKET SOLUTIONS,environmental economics,College of the Environment,School of Environmental and Forest Sciences,Sergey Rabotyagov
HUMAN IMPACTS,pollution,College of the Environment,School of Environmental and Forest Sciences,Sergey Rabotyagov
MEASURING,environmental economics,College of the Environment,School of Environmental and Forest Sciences,Sandor Toth
MEASURING,resource management,College of the Environment,School of Environmental and Forest Sciences,Sandor Tooth
RESTORATION,resource management,College of the Environment,School of Environmental and Forest Sciences,James Fridley
RESTORATION,human impact,College of the Environment,School of Environmental and Forest Sciences,Bernard Bormann
SOCIAL/CULTURAL SOLUTIONS,human impact,College of the Environment,School of Environmental and Forest Sciences,Bernard Bormann
TECHNICAL SOLUTIONS,sustainable behaviors,College of the Environment,School of Environmental and Forest Sciences,Sally Brown
RESTORATION,resource management,College of the Environment,School of Environmental and Forest Sciences,Gregory Ettl
MARKET SOLUTIONS,environmental economics,College of the Environment,School of Environmental and Forest Sciences,Gregory Ettl
SOCIAL/CULTURAL SOLUTIONS,sustainable behaviors,College of the Environment,School of Environmental and Forest Sciences,Stanley Asah
HUMANS IN THE ENVIRONMENT,human-environment connection,College of the Environment,School of Environmental and Forest Sciences,Steven Harrell
 SOCIAL/CULTURAL SOLUTIONS,social/cultural solutions,College of the Environment,School of Environmental and Forest Sciences,Steven Harrell
HUMAN IMPACTS,impact on animals,College of the Environment,School of Environmental and Forest Sciences,John Marzluff
REGULATORY SOLUTIONS,decision-making,College of the Environment,School of Environmental and Forest Sciences,Clare Ryan
RESTORATION,resource management,College of the Environment,School of Environmental and Forest Sciences,Eric Turnblom
RESTORATION,restoration,College of the Environment,School of Environmental and Forest Sciences,Sharon Doty
RESTORATION,pollution,College of the Environment,School of Environmental and Forest Sciences,Sharon Doty
MANAGEMENT SOLUTIONS,sustainable building,College of the Environment,School of Environmental and Forest Sciences,Ivan Eastin
RESTORATION,restoration,College of the Environment,School of Environmental and Forest Sciences,Kern Ewing
HUMANS IN THE ENVIRONMENT,human-environment connection,College of the Environment,School of Environmental and Forest Sciences,Peter Kahn
RESTORATION,resource management,College of the Environment,School of Environmental and Forest Sciences,Charlie Halpern
MEASURING SUSTAINABILITY,human impact,College of the Environment,School of Environmental and Forest Sciences,Kristina Vogt
MANAGEMENT SOLUTIONS,resource managment,College of the Environment,School of Environmental and Forest Sciences,Jerry Franklin
RESTORATION,carbon sequestration,College of the Environment,School of Environmental and Forest Sciences,Daniel Vogt
MANAGEMENT SOLUTIONS,resource management,College of the Environment,School of Environmental and Forest Sciences,Daniel Vogt
HUMAN IMPACT,human impact,College of the Environment,School of Environmental and Forest Sciences,David Butman
HUMAN IMPACT,carbon cycling,College of the Environment,School of Environmental and Forest Sciences,David Butman
MANAGEMENT SOLUTIONS,resource management,College of the Environment,School of Environmental and Forest Sciences,Robert Harrison
RESTORATION,restoration,College of the Environment,School of Environmental and Forest Sciences,Anthony Dichiara
MANAGEMENT SOLUTIONS,pollution,College of the Environment,School of Environmental and Forest Sciences,Anthony Dichiara
MANAGEMENT SOLUTIONS,biofuels,College of the Environment,School of Environmental and Forest Sciences,Anthony Dichiara
HUMANS IN THE ENVIRONMENT,food resources,College of the Environment,School of Marine and Environmental Affairs,Edward Allison
HUMANS IN THE ENVIRONMENT,human rights,College of the Environment,School of Marine and Environmental Affairs,Edward Allison
RESTORATION,resource management,College of the Environment,School of Marine and Environmental Affairs,Patrick Christie
REGULATORY SOLUTIONS,resource management,College of the Environment,School of Marine and Environmental Affairs,Patrick Christie
MARKET SOLUTIONS,environmental economics,College of the Environment,School of Marine and Environmental Affairs,Sunny Jardine
MANAGEMENT SOLUTIONS,natural resource management,College of the Environment,School of Marine and Environmental Affairs,Penny Dalton
IMPACT ON HUMANS,impacts on humans,College of the Environment,School of Marine and Environmental Affairs,David Fluharty
MANAGEMENT SOLUTIONS,resource management,College of the Environment,School of Marine and Environmental Affairs,David Fluharty
RESTORATION,restoration,College of the Environment,School of Marine and Environmental Affairs,Thomas Leschine
MANAGEMENT SOLUTIONS,resource management,College of the Environment,School of Marine and Environmental Affairs,Ryan Kelly
MANAGEMENT SOLUTIONS,decision-making,College of the Environment,School of Marine and Environmental Affairs,Ryan Kelly
MARKET SOLUTIONS,community action,College of the Environment,School of Marine and Environmental Affairs,Nives Dolsak
REGULATORY SOLUTIONS,resource management,College of the Environment,School of Marine and Environmental Affairs,Nives Dolsak
HUMAN IMPACTS,ocean acidification,College of the Environment,School of Oceanography,Jan Newton
MANAGEMENT SOLUTIONS,information management,College of the Environment,School of Oceanography,Jeffrey Richey
MANAGEMENT SOLUTIONS,decision-making,College of the Environment,School of Oceanography,Jeffrey Richey
HUMAN IMPACTS,pollution,College of the Environment,School of Oceanography,Mark Warner
