General Area,Specialty,Researcher,Primary Department,College
POLLUTION/CLEANUP,wastewater management,Heidi Gough,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,wastewater management,Seana Davidson,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,wastewater treatment,David Stensel,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,wastewater treatment,Stuart E. Strand,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,water quality,*Michael Dodd,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,water quality,Edward Kolodziej,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,water quality,Gregory V. Korshin,Civil & Environmental Engineering,Engineering
RESOURCE MANAGEMENT,water management,Erkan Istanbulluoglu,Civil & Environmental Engineering,Engineering
RESOURCE MANAGEMENT,water management,Stephen J. Burges,Civil & Environmental Engineering,Engineering
TRANSPORTATION,consumption choices,Don MacKenzie,Civil & Environmental Engineering,Engineering
TRANSPORTATION,electric vehicles,Don MacKenzie,Civil & Environmental Engineering,Engineering
TRANSPORTATION,pollution : transportation planning,Anne Goodchild,Civil & Environmental Engineering,Engineering
TRANSPORTATION,solar power,Joe P. Mahoney,Civil & Environmental Engineering,Engineering
TRANSPORTATION,sustainable infrastructure,Joe P. Mahoney,Civil & Environmental Engineering,Engineering
TRANSPORTATION,sustainable infrastructure,Steve Muench,Civil & Environmental Engineering,Engineering
ENERGY,Energy Harvesting,Joshua Smith,Computer Science & Engineering,Engineering
ENERGY,Energy Harvesting,Brian Otis,Electrical Engineering,Engineering
ENERGY,Solar,Daniel Kirschen,Electrical Engineering,Engineering
ENERGY,Solar,Scott Dunham,Electrical Engineering,Engineering
ENERGY,Solar,Scott Dunham,Electrical Engineering,Engineering
ENERGY,Wind,Daniel Kirschen,Electrical Engineering,Engineering
ENERGY,Wind,Mohamed El-Sharkawi,Electrical Engineering,Engineering
ENERGY,Bioenergy,Jihui Yang,Materials Science & Engineering,Engineering
ENERGY,Energy Harvesting,Christine Luscombe,Materials Science & Engineering,Engineering
ENERGY,Energy Harvesting,Fumio Ohuchi,Materials Science & Engineering,Engineering
ENERGY,Energy Harvesting,Guozhong Cao,Materials Science & Engineering,Engineering
ENERGY,Energy Harvesting,Xiaodong Xu,Materials Science & Engineering,Engineering
ENERGY,Solar,Alex K.-Y. Jen,Materials Science & Engineering,Engineering
ENERGY,Solar,Christine Luscombe,Materials Science & Engineering,Engineering
ENERGY,Solar,Guozhong Cao,Materials Science & Engineering,Engineering
ENERGY,Solar,Hong Ma,Materials Science & Engineering,Engineering
ENERGY,Solar,Qifeng Zhang,Materials Science & Engineering,Engineering
ENERGY,Bioenergy,Amy Shen,Mechanical Engineering,Engineering
ENERGY,Energy Harvesting,Jiangyu Li,Mechanical Engineering,Engineering
ENERGY,Energy Harvesting,Minoru Taya,Mechanical Engineering,Engineering
ENERGY,Solar,J. Devin Mackenzie,Mechanical Engineering,Engineering
ENERGY,Solar,Jiangyu Li,Mechanical Engineering,Engineering
ENERGY,Solar,Minoru Taya,Mechanical Engineering,Engineering
ENERGY,Tidal/Hydrokinetics,Alberto Aliseda,Mechanical Engineering,Engineering
ENERGY,Tidal/Hydrokinetics,Brian Polagye,Mechanical Engineering,Engineering
ENERGY,Tidal/Hydrokinetics,James Riley,Mechanical Engineering,Engineering
ENERGY,Tidal/Hydrokinetics,Philip Malte,Mechanical Engineering,Engineering
ENERGY,Tidal/Hydrokinetics,Steve Brunton,Mechanical Engineering,Engineering
ENERGY,Bioenergy,Renata Bura,Environmental and Forest Science,Environment
ENERGY,Bioenergy,Richard Gustafson,Environmental and Forest Science,Environment
ENERGY,Bioenergy,Sharon Doty,Environmental and Forest Science,Environment
ENERGY,Tidal/Hydrokinetics,Mitsuhiro Kawase,Physical Oceanography,Environment
